    1.314 INFO     Updating inventory 56: CF-113-CoE-NEW
    1.334 INFO     Reading executable JSON source: /var/lib/awx/venv/tower/lib/python2.7/site-packages/awx/plugins/inventory/ec2.py
    5.015 INFO     Loaded 24 groups, 6 hosts
    5.154 INFO     Group "ec2" variables unmodified
    5.159 INFO     Group "ec2" variables unmodified
    5.159 INFO     Group "tag_aws_cloudformation_logical_id" variables unmodified
    5.160 INFO     Group "tag_aws_cloudformation_logical_id_AviatrixController" variables unmodified
    5.160 INFO     Group "tag_aws_cloudformation_stack_id" variables unmodified
    5.160 INFO     Group "tag_aws_cloudformation_stack_id_arn_aws_cloudformation_us_east_1_986182225774_stack_Controller_A_98bdc830_cbab_11e7_a47a_500c28afa0ba" variables unmodified
    5.160 INFO     Group "tag_aws_cloudformation_stack_name" variables unmodified
    5.161 INFO     Group "tag_aws_cloudformation_stack_name_Controller_A" variables unmodified
    5.161 INFO     Group "tag__GX_BACKUP_" variables unmodified
    5.161 INFO     Group "tag_Name" variables unmodified
    5.161 INFO     Group "tag_Name_AviatrixController" variables unmodified
    5.162 INFO     Group "tag_Name_aviatrix_N_Virgina_GW_A_172_31_31_153" variables unmodified
    5.162 INFO     Group "tag_Name_aviatrix_nvirginia_1_172_31_5_171" variables unmodified
    5.162 INFO     Group "tag_Name_aviatrix_nvirginia_1_hagw_172_31_5_171" variables unmodified
    5.162 INFO     Group "tag_Name_Cvlt_mediaserver" variables unmodified
    5.162 INFO     Group "tag_Name_sdx_wrp_10" variables unmodified
    5.163 INFO     Group "tag_N_Virgina_GW_A_172_31_31_153" variables unmodified
    5.163 INFO     Group "tag_N_Virgina_GW_A_172_31_31_153_gateway" variables unmodified
    5.163 INFO     Group "tag_nvirginia_1_172_31_5_171" variables unmodified
    5.163 INFO     Group "tag_nvirginia_1_172_31_5_171_gateway" variables unmodified
    5.164 INFO     Group "tag_nvirginia_1_hagw_172_31_5_171" variables unmodified
    5.164 INFO     Group "tag_nvirginia_1_hagw_172_31_5_171_gateway" variables unmodified
    5.164 INFO     Group "tag_Project" variables unmodified
    5.164 INFO     Group "tag_Project_Aviatrix" variables unmodified
    5.165 INFO     Group "tags" variables unmodified
    5.174 INFO     Host "34.193.109.28" variables unmodified
    5.175 INFO     Host "34.224.245.31" variables unmodified
    5.175 INFO     Host "34.225.52.141" variables unmodified
    5.176 INFO     Host "54.83.140.39" variables unmodified
    5.176 INFO     Host "54.89.83.56" variables unmodified
    5.176 INFO     Host "54.91.231.196" variables unmodified
    5.190 INFO     Group "tag_aws_cloudformation_logical_id_AviatrixController" added as child of "tag_aws_cloudformation_logical_id"
    5.196 INFO     Group "tag_aws_cloudformation_stack_id_arn_aws_cloudformation_us_east_1_986182225774_stack_Controller_A_98bdc830_cbab_11e7_a47a_500c28afa0ba" added as child of "tag_aws_cloudformation_stack_id"
    5.201 INFO     Group "tag_aws_cloudformation_stack_name_Controller_A" added as child of "tag_aws_cloudformation_stack_name"
    5.208 INFO     Group "tag_Name_sdx_wrp_10" added as child of "tag_Name"
    5.219 INFO     Group "tag_N_Virgina_GW_A_172_31_31_153_gateway" added as child of "tag_N_Virgina_GW_A_172_31_31_153"
    5.226 INFO     Group "tag_nvirginia_1_172_31_5_171_gateway" added as child of "tag_nvirginia_1_172_31_5_171"
    5.233 INFO     Group "tag_nvirginia_1_hagw_172_31_5_171_gateway" added as child of "tag_nvirginia_1_hagw_172_31_5_171"
    5.243 INFO     Group "tag_Project_Aviatrix" added as child of "tag_Project"
    5.250 INFO     Group "tag_Project" added as child of "tags"
    5.262 INFO     Host "34.193.109.28" already in group "ec2"
    5.262 INFO     Host "34.224.245.31" already in group "ec2"
    5.262 INFO     Host "34.225.52.141" already in group "ec2"
    5.262 INFO     Host "54.83.140.39" already in group "ec2"
    5.262 INFO     Host "54.89.83.56" already in group "ec2"
    5.262 INFO     Host "54.91.231.196" already in group "ec2"
    5.267 INFO     Host "34.225.52.141" already in group "tag_aws_cloudformation_logical_id_AviatrixController"
    5.275 INFO     Host "34.225.52.141" already in group "tag_aws_cloudformation_stack_id_arn_aws_cloudformation_us_east_1_986182225774_stack_Controller_A_98bdc830_cbab_11e7_a47a_500c28afa0ba"
    5.282 INFO     Host "34.225.52.141" already in group "tag_aws_cloudformation_stack_name_Controller_A"
    5.287 INFO     Host "54.91.231.196" already in group "tag__GX_BACKUP_"
    5.295 INFO     Host "34.225.52.141" already in group "tag_Name_AviatrixController"
    5.301 INFO     Host "34.224.245.31" already in group "tag_Name_aviatrix_N_Virgina_GW_A_172_31_31_153"
    5.309 INFO     Host "34.193.109.28" already in group "tag_Name_aviatrix_nvirginia_1_172_31_5_171"
    5.314 INFO     Host "54.89.83.56" already in group "tag_Name_aviatrix_nvirginia_1_hagw_172_31_5_171"
    5.319 INFO     Host "54.91.231.196" already in group "tag_Name_Cvlt_mediaserver"
    5.324 INFO     Host "54.83.140.39" already in group "tag_Name_sdx_wrp_10"
    5.332 INFO     Host "34.224.245.31" already in group "tag_N_Virgina_GW_A_172_31_31_153_gateway"
    5.340 INFO     Host "34.193.109.28" already in group "tag_nvirginia_1_172_31_5_171_gateway"
    5.345 INFO     Host "54.89.83.56" already in group "tag_nvirginia_1_hagw_172_31_5_171_gateway"
    5.350 INFO     Host "34.225.52.141" already in group "tag_Project_Aviatrix"
    5.399 INFO     Inventory import completed for group "EC2" in 4.1s
